id,departamento,entidad_territorial,nombre_municipio,estado,p_a
1,BENI,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD BENI,NINGUNO,FALSE
2,CHUQUISACA,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD CHUQUISACA,NINGUNO,FALSE
3,COCHABAMBA,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD COCHABAMBA,NINGUNO,FALSE
4,LA PAZ,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD LA PAZ,NINGUNO,FALSE
5,ORURO,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD ORURO,NINGUNO,FALSE
6,PANDO,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD PANDO,NINGUNO,FALSE
7,POTOSI,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD POTOSI,NINGUNO,FALSE
8,SANTA CRUZ,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD SANTA CRUZ,NINGUNO,FALSE
9,TARIJA,GOBIERNO AUTÓNOMO DEPARTAMENTAL,GAD TARIJA,NINGUNO,FALSE
10,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,BAURES,NINGUNO,FALSE
11,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,EXALTACIÓN,NINGUNO,FALSE
12,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,HUACARAJE,NINGUNO,FALSE
13,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,LORETO,NINGUNO,FALSE
14,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,MAGDALENA,NINGUNO,FALSE
15,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,PUERTO GUAYARAMERÍN,NINGUNO,FALSE
16,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,PUERTO RURRENABAQUE,NINGUNO,FALSE
17,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,PUERTO SILES,NINGUNO,FALSE
18,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,REYES,NINGUNO,FALSE
19,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,RIBERALTA,NINGUNO,FALSE
20,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN ANDRÉS,NINGUNO,FALSE
21,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN BORJA,NINGUNO,FALSE
22,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN IGNACIO,NINGUNO,FALSE
23,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN JAVIER,NINGUNO,FALSE
24,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN JOAQUÍN,NINGUNO,FALSE
25,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SAN RAMÓN,NINGUNO,FALSE
26,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SANTA ANA DE YACUMA,NINGUNO,FALSE
27,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,SANTA ROSA,NINGUNO,FALSE
28,BENI,GOBIERNO AUTÓNOMO MUNICIPAL,TRINIDAD,NINGUNO,FALSE
29,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,CAMARGO,NINGUNO,FALSE
30,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,CAMATAQUI (VILLA ABECIA),NINGUNO,FALSE
31,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,CULPINA,NINGUNO,FALSE
32,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,EL VILLAR,NINGUNO,FALSE
33,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,ICLA,NINGUNO,FALSE
34,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,INCAHUASI,NINGUNO,FALSE
35,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,LAS CARRERAS,NINGUNO,FALSE
36,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,MACHARETÍ,NINGUNO,FALSE
37,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,MONTEAGUDO,NINGUNO,FALSE
38,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,MUYUPAMPA,NINGUNO,FALSE
39,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,PADILLA,NINGUNO,FALSE
40,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,POROMA,NINGUNO,FALSE
41,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,PRESTO,NINGUNO,FALSE
42,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,SAN LUCAS,NINGUNO,FALSE
43,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,SAN PABLO DE HUACARETA,NINGUNO,FALSE
44,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,SOPACHUY,NINGUNO,FALSE
45,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,SUCRE,NINGUNO,FALSE
46,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,TARABUCO,NINGUNO,FALSE
47,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,TARVITA,NINGUNO,FALSE
48,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,TOMINA,NINGUNO,FALSE
49,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA ALCALÁ,NINGUNO,FALSE
50,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA AZURDUY,NINGUNO,FALSE
51,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA CHARCAS,NINGUNO,FALSE
52,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA DE HUACAYA,NINGUNO,FALSE
53,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA MOJOCOYA,NINGUNO,FALSE
54,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA SERRANO,NINGUNO,FALSE
55,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA VACA GUSMÁN,NINGUNO,FALSE
56,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,VILLA ZUDAÑEZ (TACOPAYA),NINGUNO,FALSE
57,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,YAMPARAEZ,NINGUNO,FALSE
58,CHUQUISACA,GOBIERNO AUTÓNOMO MUNICIPAL,YOTALA,NINGUNO,FALSE
59,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,AIQUILE,NINGUNO,FALSE
60,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ALALAY,NINGUNO,FALSE
61,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ANZALDO,NINGUNO,FALSE
62,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ARANI,NINGUNO,FALSE
63,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ARBIETO,NINGUNO,FALSE
64,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ARQUE,NINGUNO,FALSE
65,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,BOLÍVAR,NINGUNO,FALSE
66,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,CAPINOTA,NINGUNO,FALSE
67,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,CHIMORÉ,NINGUNO,FALSE
68,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,CLIZA,NINGUNO,FALSE
69,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,COCAPATA,NINGUNO,FALSE
70,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,COCHABAMBA,NINGUNO,FALSE
71,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,COLCAPIRHUA,NINGUNO,FALSE
72,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,COLOMI,NINGUNO,FALSE
73,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,CUCHUMUELA,NINGUNO,FALSE
74,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,ENTRE RÍOS,NINGUNO,FALSE
75,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,INDEPENDENCIA,NINGUNO,FALSE
76,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,MIZQUE,NINGUNO,FALSE
77,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,MOROCHATA,NINGUNO,FALSE
78,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,OMEREQUE,NINGUNO,FALSE
79,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,PASORAPA,NINGUNO,FALSE
80,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,POCONA,NINGUNO,FALSE
81,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,POJO,NINGUNO,FALSE
82,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,PUERTO VILLARROEL,NINGUNO,FALSE
83,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,PUNATA,NINGUNO,FALSE
84,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,QUILLACOLLO,NINGUNO,FALSE
85,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SACABA,NINGUNO,FALSE
86,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SACABAMBA,NINGUNO,FALSE
87,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SAN BENITO,NINGUNO,FALSE
88,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SANTIVAÑEZ,NINGUNO,FALSE
89,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SHINAHOTA,NINGUNO,FALSE
90,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SICAYA,NINGUNO,FALSE
91,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,SIPESIPE,NINGUNO,FALSE
92,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TACACHI,NINGUNO,FALSE
93,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TACOPAYA,NINGUNO,FALSE
94,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TAPACARÍ,NINGUNO,FALSE
95,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TARATA,NINGUNO,FALSE
96,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TIQUIPAYA,NINGUNO,FALSE
97,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TIRAQUE,NINGUNO,FALSE
98,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TOCO,NINGUNO,FALSE
99,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TOLATA,NINGUNO,FALSE
100,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,TOTORA,NINGUNO,FALSE
101,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,VACAS,NINGUNO,FALSE
102,COCHABAMBA,GOBIERNO AUTÓNOMO MUNICIPAL,VILA VILA,NINGUNO,FALSE
